1	9.9	20.7	11.37	2.1145	19.33	0.282762
2	9.2	22.1	27.762	0.4326	3.92	0.07
3	18.1	22.1	2.197	0.6163	5.87	0
4	7.9	26.6	2.623	0.7685	7.3187911	0
5	8.2	27.3	5.873	2.0637	19.6543922	0
6	9.3	29.5	46.664	10.0554	47.8826898	0
7	12.4	24.7	0	0.4419	0	0.4861063
8	12.2	24.5	2.223	3.8738	0	2.883526
9	13.3	24.4	2.611	0.6143	2	0.1809894
10	5.1	17.6	19.917	4.7157	1.67	15.1344102
11	6.5	15.2	13.058	2.068	0.08	6.8654278
12	16.4	15.8	7.145	2.7727	22.121114	1.5
13	16.1	13.1	18.13	5.8981	2	1.862606
14	15.4	12.7	2.638	5.1406	5.571615	3.799378
15	15.6	11.1	27.665	0.6015	4.813301	1.2
16	17.7	11.5	2.478	0.8654	10.917489	0
17	9.4	8	10.989	1.1463	10.949361	0.54
18	7.1	6.2	9.681	1.3117	20.934787	4.36
19	8.1	7.4	32.761	3.5062	0	0.124759
20	7.9	7.1	3.263	0.6554	0	0.534711
21	15.8	4	5.307	1.4853	2.427259	0.485165
22	17.7	5.1	7.154	0.9011	0.25	0
23	15.5	7.7	0.076	0.0262	24.290765	0
24	14.2	7	7.238	2.5505	28.007793	3.82
25	16.9	4.6	23.714	4.0868	0.4	4.32
26	7.2	9.5	15.492	1.338	14.3	2.393546
27	21.1	17.4	15.397	4.7226	6.33	1.382885
28	18.4	20.2	3.038	1.0795	2.23	0.914331
29	12.7	7.4	4.891	0.5084	33.822715	0
30	13.1	14.4	9.188	3.5514	0	11.7240529
31	20.8	12.4	11.076	3.5172	1.17	0
32	20.7	11.9	0.366	0.1229	1.71	7.509136
33	20.5	11.2	10.616	2.4323	0.53	3.48657
34	20.1	10.5	1.602	1.1016	0.5	1.994783
35	10.1	10.2	2.012	0.6509	3.373023	0.064855
36	10.5	11	2.028	0.3736	0	16.551067
37	10.4	16.4	31.2	22.5083	0	28.519169
38	8.2	16	254.736	8.5558	0	15.0201519
39	10.6	13.3	66.308	4.506	1.46864	0
40	9.2	18.5	0.856	0.1542	0	0.4
41	9	19	28.067	0.12	0	29.7216404
42	10.3	18.4	83.833	8.9165	0	2.004897
43	11	18.8	5.475	1.7997	0	5.99909
44	12.9	19.1	1.207	0.749	0	2.496776
45	13.3	20.1	6.703	1.8873	17.974737	0
46	16.4	17.6	1.659	0.144	1	0.13
47	16.2	17.3	79.264	5.4914	9.2	15.0845869
48	20.5	24	3.243	2.2964	3.1296641	2.866795
49	17.4	28.9	657.299	64.7299	22.121114	22.205492
50	13.2	10.2	0.322	0.092	0.876341	0
51	15.6	6.2	0.242	0.0688	0.655364	0

